ASIN,商品主图,商品标题,商品详情页链接,小类目,月销量,毛利率,价格($)
B0FYLR7XJ5,https://m.media-amazon.com/images/I/61KFIvJUFdL._AC_US600_.jpg,"Moozava Womens 3""/5""/8"" Workout Biker Shorts with Pocket-High Waisted Tummy Control Spandex Booty Shorts for Yoga Running Gym",https://www.amazon.com/dp/B0FYLR7XJ5,Women's Athletic Shorts,595,56%,14.99
B0FR999WB1,https://m.media-amazon.com/images/I/415RZWtRq2L._AC_US600_.jpg,"XTACER Long Cuff Gloves Kid's Winter Warm Cold Weather Gloves for Skiing Snow Snowboardfor Girls Boys Children (Light Pink-Long Cuff, 10-12 Years)",https://www.amazon.com/dp/B0FR999WB1,Boys' Cold Weather Gloves,594,28%,8.99
B0FMFX667R,https://m.media-amazon.com/images/I/71R1tELUv9L._AC_US600_.jpg,Jelbolin Balaclava Ski Mask Winter: Windproof Face Cover for Men Women Skiing Snowboarding Fleece Warm Protection,https://www.amazon.com/dp/B0FMFX667R,Men's Balaclavas,594,38%,9.99
B0FN729JNM,https://m.media-amazon.com/images/I/71b+v74nDkL._AC_US600_.jpg,fjberrtsat 6 Pairs Kids Grip Soccer Socks Cushioned Non Slip Grippy Football Athletic Sports Socks for Boys Girls 4/6,https://www.amazon.com/dp/B0FN729JNM,Boys' Soccer Socks,594,38%,14.99
B0FJDDJHWY,https://m.media-amazon.com/images/I/71athRnZaxL._AC_US600_.jpg,Longita 20g Nose Rings Hoop L Shape Nose Studs Stainless Steel Nose Screw Bone Flat Top Diamond Opal Heart High Nostril Piercing Jewelry Silver Rose Gold Black Pack for Women Men,https://www.amazon.com/dp/B0FJDDJHWY,Women's Faux Body Piercing Jewelry,594,55%,9.99
B0FS26JLN5,https://m.media-amazon.com/images/I/61Ub6vFITDL._AC_US600_.jpg,Vlozhvo Comfortable Wireless Bras for Women Seamless Padded Push Up No Show Bra with Support,https://www.amazon.com/dp/B0FS26JLN5,Everyday Bras,594,48%,14.99
B0FDR97N8G,https://m.media-amazon.com/images/I/812pUHKAxVL._AC_US600_.jpg,"2Pack Luggage Tags for Suitcases, Cute Unique Pu Leather Cruise Luggage Tag with Privacy Cover ID Label Address Card and Metal Ring Suitable for Women Men Kids Travel Bag Colorful Flowers 1",https://www.amazon.com/dp/B0FDR97N8G,Luggage Tags,594,52%,8.99
B0FMW69YJK,https://m.media-amazon.com/images/I/21pd97B5KVL._AC_US600_.jpg,GWH Christmas Gifts Earrings for Women - 18K Gold/Silver Plated Moon Star Hoop Stackable Cubic Zirconia Chain Dangle Earring Set Stacks for Multiple Piercings Jewelry for Sensitive Ears Non Tarnish,https://www.amazon.com/dp/B0FMW69YJK,Women's Drop & Dangle Earrings,593,50%,10.99
B0FJ5N79NG,https://m.media-amazon.com/images/I/71JzZVcZbDL._AC_US600_.jpg,"Atapeas Bluetooth Beanie Hat with Light, Rechargeable Wireless Beanie Cap Headlamp hat Music hat, Gifts for Men & Women",https://www.amazon.com/dp/B0FJ5N79NG,Women's Skullies & Beanies,593,42%,12.99
B0FV12LCHD,https://m.media-amazon.com/images/I/71KATmO1+zL._AC_US600_.jpg,"Sukyerios Black Cat Flower Floral Keychain Coin Purse for Women, Small PU Leather Change Pouch, Zipper Little Tiny Travel Wallet for Girls, Cute Kawaii Zip Pocket Coin Holder with Key Ring",https://www.amazon.com/dp/B0FV12LCHD,Women's Coin Purses & Pouches,593,52%,8.99
B0FVLNXXRR,https://m.media-amazon.com/images/I/61zjPn1E1FL._AC_US600_.jpg,"Aimétte Monette Hypoallergenic Gold Earrings, Flower Clover Earrings, White/Red/Black Gold Hoop Stud Earrings for Women Trendy, Clover Jewelry Gifts for Women",https://www.amazon.com/dp/B0FVLNXXRR,Women's Stud Earrings,593,55%,9.99
B0FFMRRSL6,https://m.media-amazon.com/images/I/81Gjkb66c6L._AC_US600_.jpg,Womens Fur Lined Suede Clogs Mens Fuzzy Leather Mules Cork Footbed Slip On Winter Potato Shoes with Arch Support,https://www.amazon.com/dp/B0FFMRRSL6,Women's Mules & Clogs,593,50%,19.99
B0FJRS7LGV,https://m.media-amazon.com/images/I/61OHoVlZbUL._AC_US600_.jpg,Women's Slippers Soft Plush Winter Warm House Shoes Slip on Fluffy Fur Slippers,https://www.amazon.com/dp/B0FJRS7LGV,Women's Slippers,593,11%,9.99
B0FSDS4YF7,https://m.media-amazon.com/images/I/81aX0hWAdAL._AC_US600_.jpg,20G 18G 16G Threadless Flat Back Earrings Stud -Hypoallergenic Surgical Steel Push in Nose Studs Cartilage Hoop Earring Set 14K Gold Plated Tragus Helix Conch Lip Labret Medusa Piercing Jewelry,https://www.amazon.com/dp/B0FSDS4YF7,Women's Body Piercing Studs,592,47%,13.99
B0FH49FTTN,https://m.media-amazon.com/images/I/51fcoKUygJL._AC_US600_.jpg,"Gold Necklace for Women, Cross Necklace Dainty 18K Real Gold Silver Plated, Cross Necklace for Women, Cute Simple Small Trendy Choker Pendant Jewelry Non Tarnish Gold Necklace Faith Jewelry Gift",https://www.amazon.com/dp/B0FH49FTTN,Women's Pendant Necklaces,592,9%,3.49
B0FMY48SS8,https://m.media-amazon.com/images/I/517IHn8tF4L._AC_US600_.jpg,"SELFROSE Stack Earrings For Women,Dainty 14K Gold Plated Pearl Hoop Huggie Earring Set Cute Chain Cartilage Earring Stack Trendy Hypoallergenic Long Drop Stud Earrings Jewelry",https://www.amazon.com/dp/B0FMY48SS8,Women's Jewelry Sets,592,56%,13.99
B0FH7H2D6M,https://m.media-amazon.com/images/I/71Md3OBFLEL._AC_US600_.jpg,Watch for Men Women Big Face Classic Analog Quartz Sports Backlight Unisex Waterproof Nurse Watch for Medical Army Military Time with Second Hand Easy to Read Casual Wristwatch,https://www.amazon.com/dp/B0FH7H2D6M,Women's Wrist Watches,592,51%,11.39
B0FHB9GZR1,https://m.media-amazon.com/images/I/714II2JH3QL._AC_US600_.jpg,Comfoex 12 Pairs Girls Socks Ankle Athletic low cut Socks With Cushioned Sole For Little Big Kids 4-6 6-8 8-10 Years Old,https://www.amazon.com/dp/B0FHB9GZR1,Girls' Activewear Ankle Socks,591,34%,11.88
B0FJ24CQ9W,https://m.media-amazon.com/images/I/71ACgGvFWVL._AC_US600_.jpg,"ANSUKOO Women's Seamless Bikini Underwear 6Pack,No Show Ladies Hipster Panty, No Line Silky Undies,Invisible Multipack Briefs",https://www.amazon.com/dp/B0FJ24CQ9W,Women's Bikini Panties,591,56%,14.99
B0FRSBH8X4,https://m.media-amazon.com/images/I/81KTioLkNgL._AC_US600_.jpg,Christmas Shirts for Women Merry Funny Leopard Christmas Tree Tee Tops Holiday Tshirts,https://www.amazon.com/dp/B0FRSBH8X4,Women's T-Shirts,591,44%,14.99
B0FDBLMXB8,https://m.media-amazon.com/images/I/817cpQm+NPL._AC_US600_.jpg,"30/50/100 PCS Random Shoe Charms Pack for Croc Clog, No-Repeat Different Shoes Decoration Accessories for Kids Teen",https://www.amazon.com/dp/B0FDBLMXB8,Shoe Decoration Charms,590,35%,6.99
B0FKBH9CFT,https://m.media-amazon.com/images/I/71zJ7F+HMIL._AC_US600_.jpg,Anboter 3Pairs No Show Socks Womens Ankle Socks for Women (size6-9(black white pink)),https://www.amazon.com/dp/B0FKBH9CFT,Women's No-Show Socks,590,11%,3.98
B0FN7BQJJR,https://m.media-amazon.com/images/I/91tJ0GKpRuL._AC_US600_.jpg,"RBONIGHT Thicker Ultra Luxe Warm Cozy Valentines Gifts for Women Girls, Soft Fluffy Heart Fuzzy Socks for Basket Stuffers, Size 6-12",https://www.amazon.com/dp/B0FN7BQJJR,Women's Slipper Socks,590,48%,9.99
B0FM8GB95V,https://m.media-amazon.com/images/I/51Cju6ziZ+L._AC_US600_.jpg,TOPYOGAS Women's Bootcut Yoga Pants High Waist Tummy Control Flare Leggings Workout Bottoms with Pockets,https://www.amazon.com/dp/B0FM8GB95V,Women's Yoga Pants,590,49%,12.74
B0FDQHBFQR,https://m.media-amazon.com/images/I/71NCwCAl5mL._AC_US600_.jpg,Play Tailor Girls Pajamas for Toddler Ruffled Kids Pajamas Set Short Sleeves Summer Pjs Sleepwear for Girl,https://www.amazon.com/dp/B0FDQHBFQR,Girls' Pajama Sets,590,52%,9.99
B0FQ1BWCNS,https://m.media-amazon.com/images/I/71WWcA839QL._AC_US600_.jpg,Satin Lined Knit Beanie Hat-100% Cotton Winter Hats for Women Men Silk Lining Soft Slouchy Warm Cuffed Beanies Hat,https://www.amazon.com/dp/B0FQ1BWCNS,Women's Skullies & Beanies,590,55%,13.99
B0FSBVWQCK,https://m.media-amazon.com/images/I/71ZN5jWfjnL._AC_US600_.jpg,"Winter Thermal Balaclava, Polar Fleece Hood Ski Mask for Women Men, Windproof Face Mask Cover Hat Neck Warmer Scarf",https://www.amazon.com/dp/B0FSBVWQCK,Women's Balaclavas,590,51%,9.99
B0G1N1L4W6,https://m.media-amazon.com/images/I/71f5DCqd76L._AC_US600_.jpg,"Hypoallergenic Titanium Hoop Earrings for Women&Men-8mm 10mm 12mm Small Silver Gold Huggie Hoops,Cartilage&Helix Sleeper Earrings for Sensitive Skin",https://www.amazon.com/dp/B0G1N1L4W6,Women's Earrings,589,54%,12.99
B0F8VR5NKN,https://m.media-amazon.com/images/I/61JEzG6cn3L._AC_US600_.jpg,SAMPEEL 2 Piece Outfits for Women Lounge Sets Matching Sets Fall Fashion Clothing Travel Airport Vacation Clothes Pant Sets,https://www.amazon.com/dp/B0F8VR5NKN,Women's Tracksuits,589,45%,19.99
B0FWR9F7C1,https://m.media-amazon.com/images/I/71UQgf7-98L._AC_US600_.jpg,SDEOER Women's Cotton Underwear Lace Stretchy High Waisted Ladies Panties Breathable Briefs 5 Pack,https://www.amazon.com/dp/B0FWR9F7C1,Women's Briefs,588,50%,12.99
B0FMN692X7,https://m.media-amazon.com/images/I/71qhYx77bcL._AC_US600_.jpg,Kids Winter Fleece Hats Children's Balaclava Ski Mask Windproof Warm Adjustable with Fleece Lining Hat for Boys Girls,https://www.amazon.com/dp/B0FMN692X7,Boys' Cold Weather Hats & Caps,588,38%,14.98
B0FD98T8P9,https://m.media-amazon.com/images/I/61mnGPAlRSL._AC_US600_.jpg,Puistr Boys Tie Pre-tied Adjustable Kids Solid Color Necktie for Age 8-12 Years Wedding School Graduation with Gift Box,https://www.amazon.com/dp/B0FD98T8P9,Boys' Neckties,588,54%,9.99
B0FJXD45V1,https://m.media-amazon.com/images/I/61V-JLe4YUL._AC_US600_.jpg,CSIYANJRY99 Gold Rings for Women Non Tarnish Adjustable Thumb Ring for Women Finger Ring Chunky Gold Silver Rings Anillos Para Mujer Stainless Steel New Year Anniversary Birthday Jewelry,https://www.amazon.com/dp/B0FJXD45V1,Women's Statement Rings,588,49%,7.99
B0FY1Q3DJP,https://m.media-amazon.com/images/I/81xDb-iuxpL._AC_US600_.jpg,THEMEROL Cute Christmas Gifts for Kids/Teen Girls/Women-Love/Protection-Handmade Natural Crystal Bracelets with Xmas-Themed Card,https://www.amazon.com/dp/B0FY1Q3DJP,Women's Stretch Bracelets,587,55%,9.99
B0FRSG1K5G,https://m.media-amazon.com/images/I/81T-3tATroL._AC_US600_.jpg,Tikeiuo Women Winter Cute Boot Socks Thick Warm Cozy Cushioned Ankle Crew Socks Casual Calf Socks for Winter 3-5 Pairs,https://www.amazon.com/dp/B0FRSG1K5G,Women's Calf Socks,587,44%,8.99
B0FT2J5LVV,https://m.media-amazon.com/images/I/51aWHZxh4YL._AC_US600_.jpg,"GIFTPIXIE Ultimate Rip Resistant Tights for Women, 40D Semi Sheer High Waist Control Top Indestructible T-Crotch Stockings",https://www.amazon.com/dp/B0FT2J5LVV,Women's Tights,587,55%,14.59
B0FF4DNLPG,https://m.media-amazon.com/images/I/21nV2O8GSGL._AC_US600_.jpg,E E EMPTY ENTIRE Women's Fuzzy House Slippers with Memory Foam Warm Plush Slipper for Indoor,https://www.amazon.com/dp/B0FF4DNLPG,Women's Slippers,586,31%,12.99
B0FJ1H785Q,https://m.media-amazon.com/images/I/61OORXHUhBL._AC_US600_.jpg,Christmas Couples His and Her Shirt: Family Matching Xmas Outfits Sets - Funny Holiday Graphic Pajamas Tees Top,https://www.amazon.com/dp/B0FJ1H785Q,Women's T-Shirts,586,50%,9.49
B0FG2QK1R7,https://m.media-amazon.com/images/I/71bYlLnDJhL._AC_US600_.jpg,"MHWTTY Hypoallergenic Cartilage Earrings for Women Men, 1 Pairs Titanium Stud for Women Gold Silver Black 20G Post & Screw Back with Cubic Zirconia 3 4 5 6 7 mm Piercing Jewelry",https://www.amazon.com/dp/B0FG2QK1R7,Men's Earrings,586,53%,8.99
B0FD9P8GPN,https://m.media-amazon.com/images/I/61365rqGwCL._AC_US600_.jpg,FIBURE Women's Cozy Memory Foam Slippers Fuzzy Faux Fur Slippers Warm House Shoes For Indoor & Outdoor Comfort,https://www.amazon.com/dp/B0FD9P8GPN,Women's Slippers,585,23%,9.99
B0FRXTQT31,https://m.media-amazon.com/images/I/810H8aNfVgL._AC_US600_.jpg,YZKKE Women Winter Solid Socks Thick Warm Wool Socks Cozy Crew Socks for Womens Christmas Gift,https://www.amazon.com/dp/B0FRXTQT31,Women's Calf Socks,585,16%,7.99
B0FNK1ZCKS,https://m.media-amazon.com/images/I/61dvDzW-JzL._AC_US600_.jpg,LOUMILEO Sterling Silver Cross Hoop Earrings for Women Hypoallergenic 14K Gold Plated Rhinestone Hoop Earrings for Momen Lightweight Silver Cross Earrings with Cubic Zirconia Jewelry Gifts 20/30/40MM,https://www.amazon.com/dp/B0FNK1ZCKS,Women's Hoop Earrings,585,56%,9.99
B0FF551G73,https://m.media-amazon.com/images/I/61zwCBvi7OL._AC_US600_.jpg,"Ahardaim 12 Pcs Handkerchiefs for Men, 100% Soft Cotton White Men's Handkerchiefs, Large Classic Hankies for Men",https://www.amazon.com/dp/B0FF551G73,Men's Handkerchiefs,585,33%,5.99
B0FP2XS9ZS,https://m.media-amazon.com/images/I/81fdxPCPM8L._AC_US600_.jpg,Jecson Toddler Girl Fall Clothes: Soft Outfits Set Embroidered Knit Top & Sweatpants 2Pcs Cute Home Outdoor 2-8Y,https://www.amazon.com/dp/B0FP2XS9ZS,Baby Girls' Pant Sets,585,46%,14.99
B0G2LT825T,https://m.media-amazon.com/images/I/51pkfgdm2PL._AC_US600_.jpg,Punhem Chunky Gold Statement Rings for Women 14K Gold Silver Tone Non Tarnish Cute Puffy Dome Croissant Thumb Band High Polished Smooth Comfort Fit Size 5-10,https://www.amazon.com/dp/B0G2LT825T,Women's Statement Rings,585,55%,9.99
B0FDW1VDLG,https://m.media-amazon.com/images/I/91824jCfkJL._AC_US600_.jpg,Arach&Cloz Women's Wool Blend Bolero Shrug Spring Fashion Cropped Cardigans 2026,https://www.amazon.com/dp/B0FDW1VDLG,Women's Shrug Sweaters,585,48%,19.99
B0FD3DR725,https://m.media-amazon.com/images/I/71bug-6f+NL._AC_US600_.jpg,BAVEDER Girls Clothes 2 Piece Clothes for Girls Outfits Kids Tween Trendy Solid Fake-Two Sweatshirt Pullover Leggings Sets,https://www.amazon.com/dp/B0FD3DR725,Girls' Pant Sets,584,41%,12.98
B0FH54H7P9,https://m.media-amazon.com/images/I/71VOVqBDq7L._AC_US600_.jpg,Womens Period Underwear Heavy Flow High Absorbency Panties High Waisted Menstrual Leakproof Postpartum Briefs,https://www.amazon.com/dp/B0FH54H7P9,Women's Briefs,584,46%,14.99
B0FJ6V9BW6,https://m.media-amazon.com/images/I/71pIZSYpNyL._AC_US600_.jpg,"afunnykaggles Gifts For Golfer,Golf Socks and Golf Gifts Card for Men,Birthday Valentines Day For Golfer",https://www.amazon.com/dp/B0FJ6V9BW6,Men's Novelty Socks,584,25%,4.99
B0FZCNTYP9,https://m.media-amazon.com/images/I/71wh413Mg7L._AC_US600_.jpg,"OUFER Horseshoe Nose Rings Studs, 316L Surgical Steel Double Shiny Clear CZ Nose Rings For Women, 20G 7MM Internally Threaded Cartilage Earrings, Lip Eyebrow Helix Ear Piercing Jewelry",https://www.amazon.com/dp/B0FZCNTYP9,Women's Body Piercing Studs,583,55%,9.99
B0FB8XS2VS,https://m.media-amazon.com/images/I/91HDPvpXXSL._AC_US600_.jpg,ICEIVY Womens Fuzzy Socks Thick Soft Warm Winter Fluffy Cozy Cabin 5 Packs Casual Home Sleep Socks with Gifts Box,https://www.amazon.com/dp/B0FB8XS2VS,Women's Calf Socks,583,53%,18.99
B0FGY5BZLV,https://m.media-amazon.com/images/I/715N0jIzHeL._AC_US600_.jpg,"PATPAT Organic Cotton Baby Footie Pajamas with Two-Way Zipper & Fold-Over Mittens, Soft Stretchy Romper for Newborn Boy Girl",https://www.amazon.com/dp/B0FGY5BZLV,Baby Girls' One-Piece Footies,582,55%,19.99
B0FHVJZCX6,https://m.media-amazon.com/images/I/510Hdnx59EL._AC_US600_.jpg,14K Gold Filled Nose Rings Studs for Women Men - 18G 16G Hypoallergenic Surgical Steel Nose Rings Hoops Opal CZ Internal Thread Flat Back Studs for Women Lip Nostril piercing jewelry,https://www.amazon.com/dp/B0FHVJZCX6,Women's Body Piercing Studs,581,55%,9.99
B0FQV521SM,https://m.media-amazon.com/images/I/71bl7z7-BkL._AC_US600_.jpg,"Wmcaps Fleece Lined Beanie with Earflap, Warm Thermal Knit Winter Hats for Men Women，Outdoor Stocking Cap",https://www.amazon.com/dp/B0FQV521SM,Women's Skullies & Beanies,581,41%,12.99
B0FH65P6PX,https://m.media-amazon.com/images/I/61WDT1id3CL._AC_US600_.jpg,"DORALLURE Plus Size Fleece Lined Tights Women, Opaque Winter Warm thermal Leggings Pantyhose",https://www.amazon.com/dp/B0FH65P6PX,Women's Tights,581,48%,9.99
B0FD3LGLV1,https://m.media-amazon.com/images/I/51h03PahNFL._AC_US600_.jpg,YSYOKOW Women's Flowy Maxi Skirts Elastic High Waisted Casual A-Line Long Skirt with Pockets 2025 Trendy,https://www.amazon.com/dp/B0FD3LGLV1,Women's Novelty Skirts,581,46%,14.99
B0FGTTY8NK,https://m.media-amazon.com/images/I/71RTK7VVlNL._AC_US600_.jpg,Baby Beanie Warm Winter Hat with Bear Ear for Infant Toddler Boys Girls Kids Soft Knitted Skull Cap,https://www.amazon.com/dp/B0FGTTY8NK,Baby Boys' Hats & Caps,580,41%,18.03
B0FJD91M2W,https://m.media-amazon.com/images/I/71cMlzSx6SL._AC_US600_.jpg,PJGGZ Plaid Pajama Pants Women - Fluffy Warm Fleece Pj Bottoms Soft Sleep Lounge Pants with Pockets,https://www.amazon.com/dp/B0FJD91M2W,Women's Pajama Bottoms,580,36%,9.99
B0FMK775SK,https://m.media-amazon.com/images/I/71bNDyx0tNL._AC_US600_.jpg,"Bluetooth Beanie with Light, Built-in Stereo Speaker Mic and Wide Beam Light, Rechargeable Headlamp hat Music hat, Unique Tech Gifts for Men Him Husband Teen Black",https://www.amazon.com/dp/B0FMK775SK,Women's Hats & Caps,580,42%,9.99
B0FMJZ31VL,https://m.media-amazon.com/images/I/71DWsW-aJLL._AC_US600_.jpg,Womens Beanie Hat Infinity Scarf Touchscreen Gloves Fleece Headband 4 in 1 Winter Clothes Set Gifts for Women,https://www.amazon.com/dp/B0FMJZ31VL,Women's Skullies & Beanies,580,38%,14.99
B0FQ5QS8FB,https://m.media-amazon.com/images/I/81OTWyIgTvL._AC_US600_.jpg,IRAMY Ankle Compression Socks for Men Athletic Running Socks with Cushioned Support 3/5 Pairs,https://www.amazon.com/dp/B0FQ5QS8FB,Men's Activewear Ankle Socks,580,35%,14.99
B0FMRPNY8C,https://m.media-amazon.com/images/I/71+L-665eeL._AC_US600_.jpg,ERMO NKES Pilates Crew Socks for Women Ruffle Grip Yoga Barre Cute Non Slip Sticky Workout Dance Sock,https://www.amazon.com/dp/B0FMRPNY8C,Women's Yoga Socks,580,53%,9.99
B0FGD4XK3K,https://m.media-amazon.com/images/I/61QAmAEVIWL._AC_US600_.jpg,"Navirix Vintage Gold Virgin Mary Cross Rings Set for Women,10Pcs Chunky Stackable Cross Knuckle Rings Set Retro Jewlery Accessories",https://www.amazon.com/dp/B0FGD4XK3K,Women's Statement Rings,579,55%,9.99
B0FV2TPF7R,https://m.media-amazon.com/images/I/81ATVWh3zKL._AC_US600_.jpg,14 Pairs Hypoallergenic Earrings for Women Girls Surgical Steel Screw Back Earring for Sensitive Ears Cute Flower Butterfly Heart CZ Flat Back Earrings Girls Jewelry Gift age：over 48 months old,https://www.amazon.com/dp/B0FV2TPF7R,Women's Stud Earrings,579,58%,14.99
B0FKB45V96,https://m.media-amazon.com/images/I/81oaWPKwAdL._AC_US600_.jpg,COOPLUS Mens Cotton Cushioned Crew Socks Athletic Running Moisture Wicking Performance Work Boot Socks for Men 6 Pairs,https://www.amazon.com/dp/B0FKB45V96,Men's Activewear Crew Socks,579,48%,18.99
B0FPGFBVBP,https://m.media-amazon.com/images/I/81UKQsliCIL._AC_US600_.jpg,"UpResty House Slippers for Women Indoor, US Original Design Memory Foam Womens Slippers with Arch Support, Washable Open Toe Ladies Woman Slipper for Bedroom Hospital Delivery House Shoes",https://www.amazon.com/dp/B0FPGFBVBP,Women's Slippers,579,31%,9.99
B0FG7DTY7N,https://m.media-amazon.com/images/I/817K2Zr2YzL._AC_US600_.jpg,"XFUEL Kids Neck Warmer, Knitted Winter Neck Gaiter, Fleece Lined Infinity Scarf for Boys Girls, Ski Mask for Cold Weather",https://www.amazon.com/dp/B0FG7DTY7N,Girls' Cold Weather Neck Gaiters,579,53%,9.99
