ASIN,商品主图,商品详情页链接,小类目,月销量,毛利率,价格($)
B0G39N75NM,https://m.media-amazon.com/images/I/81Dt94X+cWL._AC_US600_.jpg,https://www.amazon.com/dp/B0G39N75NM,Women's Button-Down Shirts,491,0.57,14.99
B0FD9DTHXK,https://m.media-amazon.com/images/I/71F8qD9oVNL._AC_US600_.jpg,https://www.amazon.com/dp/B0FD9DTHXK,Women's T-Shirts,490,0.58,16.99
B0FHJ3R32Z,https://m.media-amazon.com/images/I/61gYhLJ23DL._AC_US600_.jpg,https://www.amazon.com/dp/B0FHJ3R32Z,Women's T-Shirts,489,0.59,16.99
B0FPLWVYX7,https://m.media-amazon.com/images/I/81BLB--zmjL._AC_US600_.jpg,https://www.amazon.com/dp/B0FPLWVYX7,Women's T-Shirts,484,0.55,14.99
B0FDGRG6PN,https://m.media-amazon.com/images/I/71YSAS1n09L._AC_US600_.jpg,https://www.amazon.com/dp/B0FDGRG6PN,Women's Tunics,483,0.54,19.98
B0FHVYHB46,https://m.media-amazon.com/images/I/61ZQD0WZFVL._AC_US600_.jpg,https://www.amazon.com/dp/B0FHVYHB46,Women's Tanks & Camis,483,0.62,18.99
B0FX9TJ3ND,https://m.media-amazon.com/images/I/715nq2B5E5L._AC_US600_.jpg,https://www.amazon.com/dp/B0FX9TJ3ND,Women's T-Shirts,480,0.58,16.49
B0FDFRKGND,https://m.media-amazon.com/images/I/71emNii13gL._AC_US600_.jpg,https://www.amazon.com/dp/B0FDFRKGND,Women's Tanks & Camis,479,0.57,19.99
B0FZTS65Q3,https://m.media-amazon.com/images/I/61T+sidkMxL._AC_US600_.jpg,https://www.amazon.com/dp/B0FZTS65Q3,Baby Boys' Pants Sets,478,0.51,16.99
B0G1YP7S15,https://m.media-amazon.com/images/I/8178UwYk07L._AC_US600_.jpg,https://www.amazon.com/dp/B0G1YP7S15,Women's Tunics,476,0.62,19.99
B0FG2YN4WL,https://m.media-amazon.com/images/I/61wr5v-+q6L._AC_US600_.jpg,https://www.amazon.com/dp/B0FG2YN4WL,Women's T-Shirts,476,0.53,19.99
B0FHW25BNV,"https://m.media-amazon.com/images/I/41Q2OYkavOL._AC_SR600,600_.jpg",https://www.amazon.com/dp/B0FHW25BNV,Women's Tanks & Camis,475,0.57,14.99
B0FNCVX59M,https://m.media-amazon.com/images/I/81XCLi1+0zL._AC_US600_.jpg,https://www.amazon.com/dp/B0FNCVX59M,Women's Stud Earrings,475,0.61,16.99
B0FSJBXR36,https://m.media-amazon.com/images/I/61cdw7eWryL._AC_US600_.jpg,https://www.amazon.com/dp/B0FSJBXR36,Everyday Bras,475,0.57,19.98
B0G25KNPZ3,https://m.media-amazon.com/images/I/71S51E-ZULL._AC_US600_.jpg,https://www.amazon.com/dp/B0G25KNPZ3,Everyday Bras,474,0.62,19.99
B0FSWPR7RH,https://m.media-amazon.com/images/I/91pq4LomYDL._AC_US600_.jpg,https://www.amazon.com/dp/B0FSWPR7RH,Women's Pullover Sweaters,473,0.54,19.52
B0FMY6NP9Z,https://m.media-amazon.com/images/I/71goKqYv7ZL._AC_US600_.jpg,https://www.amazon.com/dp/B0FMY6NP9Z,Women's T-Shirts,473,0.52,18.99
B0FWRBJRFR,https://m.media-amazon.com/images/I/71-rgkUGCqL._AC_US600_.jpg,https://www.amazon.com/dp/B0FWRBJRFR,Women's T-Shirts,472,0.56,19.99
B0FVCTLP3S,https://m.media-amazon.com/images/I/71x7Eukd0GL._AC_US600_.jpg,https://www.amazon.com/dp/B0FVCTLP3S,Women's T-Shirts,470,0.54,13.99
B0G1C8JRMT,https://m.media-amazon.com/images/I/61KkHBqoHoL._AC_US600_.jpg,https://www.amazon.com/dp/B0G1C8JRMT,Women's T-Shirts,470,0.52,9.99
B0FQC39YNK,https://m.media-amazon.com/images/I/61A5seaBV7L._AC_US600_.jpg,https://www.amazon.com/dp/B0FQC39YNK,Women's T-Shirts,470,0.54,13.99
B0FYMGG5RW,https://m.media-amazon.com/images/I/71K8nzCCt8L._AC_US600_.jpg,https://www.amazon.com/dp/B0FYMGG5RW,Women's Button-Down Shirts,470,0.62,19.97
B0FJXJND5H,https://m.media-amazon.com/images/I/71KOeTbKhaL._AC_US600_.jpg,https://www.amazon.com/dp/B0FJXJND5H,Women's T-Shirts,469,0.62,19.99
B0FKBQ8K5N,https://m.media-amazon.com/images/I/71iQIbhGU8L._AC_US600_.jpg,https://www.amazon.com/dp/B0FKBQ8K5N,Women's T-Shirts,469,0.58,17.99
B0FH24L9V8,https://m.media-amazon.com/images/I/61cH4YR6WxL._AC_US600_.jpg,https://www.amazon.com/dp/B0FH24L9V8,Baby Girls' Pant Sets,467,0.58,17.98
B0G1H2H4NS,https://m.media-amazon.com/images/I/610bLwmWRWL._AC_US600_.jpg,https://www.amazon.com/dp/B0G1H2H4NS,Women's Statement Rings,467,0.56,9.99
B0FTG694G3,https://m.media-amazon.com/images/I/71XtJCl457L._AC_US600_.jpg,https://www.amazon.com/dp/B0FTG694G3,Women's T-Shirts,467,0.54,9.99
B0FFGL25TM,https://m.media-amazon.com/images/I/61XcCg-rO5L._AC_US600_.jpg,https://www.amazon.com/dp/B0FFGL25TM,Baby Boys' Pants Sets,465,0.57,19.99
B0G26D75NW,https://m.media-amazon.com/images/I/71UE+Rt5zRL._AC_US600_.jpg,https://www.amazon.com/dp/B0G26D75NW,Everyday Bras,464,0.57,19.99
B0FFT7J8MF,https://m.media-amazon.com/images/I/71-MzsVaD6L._AC_US600_.jpg,https://www.amazon.com/dp/B0FFT7J8MF,Women's T-Shirts,462,0.52,12.99
B0FFT76LW2,https://m.media-amazon.com/images/I/71AaCJzF5tL._AC_US600_.jpg,https://www.amazon.com/dp/B0FFT76LW2,Women's T-Shirts,462,0.54,13.99
B0FG2TSWJN,https://m.media-amazon.com/images/I/81pDc135TGL._AC_US600_.jpg,https://www.amazon.com/dp/B0FG2TSWJN,Women's Swimwear Cover Ups,462,0.6,19.99
B0FX4825SS,https://m.media-amazon.com/images/I/71jrCM-xvkL._AC_US600_.jpg,https://www.amazon.com/dp/B0FX4825SS,Women's T-Shirts,457,0.59,16.99
B0FL2Q2JBK,https://m.media-amazon.com/images/I/718s6ULVNOL._AC_US600_.jpg,https://www.amazon.com/dp/B0FL2Q2JBK,Everyday Bras,455,0.53,19.99
B0FSKWX1S5,"https://m.media-amazon.com/images/I/41MJnk4vEcL._AC_SR600,600_.jpg",https://www.amazon.com/dp/B0FSKWX1S5,Women's Tanks & Camis,455,0.54,9.99
B0FX3L6C5H,https://m.media-amazon.com/images/I/71zMQEWAw9L._AC_US600_.jpg,https://www.amazon.com/dp/B0FX3L6C5H,Women's T-Shirts,454,0.52,9.94
B0FD9PNYSL,https://m.media-amazon.com/images/I/81O2akFwn-L._AC_US600_.jpg,https://www.amazon.com/dp/B0FD9PNYSL,Baby Boys' Pants Sets,453,0.62,19.99
B0FHH3BN9T,https://m.media-amazon.com/images/I/71jJIzTXK1L._AC_US600_.jpg,https://www.amazon.com/dp/B0FHH3BN9T,Women's Tunics,452,0.54,14.99
B0FX2SGD6Y,https://m.media-amazon.com/images/I/71+VWQR9ySL._AC_US600_.jpg,https://www.amazon.com/dp/B0FX2SGD6Y,Women's Tunics,451,0.62,19.99
B0FKZCC89R,https://m.media-amazon.com/images/I/611Qly1v6NL._AC_US600_.jpg,https://www.amazon.com/dp/B0FKZCC89R,Women's Button-Down Shirts,450,0.55,17.99
B0G2S312D7,https://m.media-amazon.com/images/I/71XtEixUDKL._AC_US600_.jpg,https://www.amazon.com/dp/B0G2S312D7,Women's T-Shirts,448,0.54,13.99
B0FY29W3Q4,https://m.media-amazon.com/images/I/61rJCyc4b5L._AC_US600_.jpg,https://www.amazon.com/dp/B0FY29W3Q4,Women's T-Shirts,447,0.54,13.98
B0FLJJTCCW,https://m.media-amazon.com/images/I/71rLC4e+OuL._AC_US600_.jpg,https://www.amazon.com/dp/B0FLJJTCCW,Baby Girls' Pant Sets,447,0.58,16.99
B0FY6BCRM7,https://m.media-amazon.com/images/I/71glPqWyLjL._AC_US600_.jpg,https://www.amazon.com/dp/B0FY6BCRM7,Women's Button-Down Shirts,447,0.6,17.99
B0FJFXRLQ5,https://m.media-amazon.com/images/I/81VQWqPN65L._AC_US600_.jpg,https://www.amazon.com/dp/B0FJFXRLQ5,Women's Button-Down Shirts,446,0.54,19.99
B0FX2R8LSF,https://m.media-amazon.com/images/I/8146g8fcS3L._AC_US600_.jpg,https://www.amazon.com/dp/B0FX2R8LSF,Women's Pullover Sweaters,446,0.6,19.99
B0FKBH854N,https://m.media-amazon.com/images/I/71aX7krHKZL._AC_US600_.jpg,https://www.amazon.com/dp/B0FKBH854N,Women's T-Shirts,445,0.52,12.99
B0FG7TQ5V9,https://m.media-amazon.com/images/I/81fa3A+fm4L._AC_US600_.jpg,https://www.amazon.com/dp/B0FG7TQ5V9,Women's T-Shirts,444,0.56,14.99
B0FZG136SQ,https://m.media-amazon.com/images/I/7118gik7Z0L._AC_US600_.jpg,https://www.amazon.com/dp/B0FZG136SQ,Women's T-Shirts,443,0.59,17.99
B0FQCD81C4,https://m.media-amazon.com/images/I/61EhHOnukJL._AC_US600_.jpg,https://www.amazon.com/dp/B0FQCD81C4,Women's Statement Rings,443,0.53,13.99
B0FHJZZDTP,https://m.media-amazon.com/images/I/71fIyh0LlaL._AC_US600_.jpg,https://www.amazon.com/dp/B0FHJZZDTP,Women's T-Shirts,443,0.61,18.99
B0F9K1FP85,https://m.media-amazon.com/images/I/51J68FcElaL._AC_US600_.jpg,https://www.amazon.com/dp/B0F9K1FP85,Women's Belts,443,0.54,16.99
B0FF4M9PSH,https://m.media-amazon.com/images/I/81Lt0e9kBeL._AC_US600_.jpg,https://www.amazon.com/dp/B0FF4M9PSH,Baby Girls' Pant Sets,443,0.52,12.98
B0FLDLDQKP,https://m.media-amazon.com/images/I/81+2m993LBL._AC_US600_.jpg,https://www.amazon.com/dp/B0FLDLDQKP,Women's Belts,442,0.52,16.99
B0FHP42WD3,https://m.media-amazon.com/images/I/810Jvo8a5zL._AC_US600_.jpg,https://www.amazon.com/dp/B0FHP42WD3,Women's Novelty Blouses & Button-Down Shirts,442,0.56,14.99
B0FSQJJ3Y4,https://m.media-amazon.com/images/I/71TgnexMQEL._AC_US600_.jpg,https://www.amazon.com/dp/B0FSQJJ3Y4,Women's Pullover Sweaters,440,0.6,19.98
B0FS6NZ8YT,https://m.media-amazon.com/images/I/61WbxSRL3BL._AC_US600_.jpg,https://www.amazon.com/dp/B0FS6NZ8YT,Women's Stud Earrings,440,0.55,12.99
B0FV89ZYH5,https://m.media-amazon.com/images/I/61n4FMPX2WL._AC_US600_.jpg,https://www.amazon.com/dp/B0FV89ZYH5,Women's Stud Earrings,435,0.58,14.99
B0FXWZYNBV,https://m.media-amazon.com/images/I/71BmdUTfxmL._AC_US600_.jpg,https://www.amazon.com/dp/B0FXWZYNBV,Women's T-Shirts,434,0.54,14.99
B0F99M21Q1,https://m.media-amazon.com/images/I/71zdy3VTJTL._AC_US600_.jpg,https://www.amazon.com/dp/B0F99M21Q1,Baby Boys' Pants Sets,434,0.55,18.99
B0FPLY54LN,https://m.media-amazon.com/images/I/61JH6BOBcML._AC_US600_.jpg,https://www.amazon.com/dp/B0FPLY54LN,Women's Tanks & Camis,433,0.55,19.99
B0FXGXTNYF,https://m.media-amazon.com/images/I/71JY+77NzhL._AC_US600_.jpg,https://www.amazon.com/dp/B0FXGXTNYF,Women's T-Shirts,431,0.58,16.99
B0FX1ZP43J,https://m.media-amazon.com/images/I/81lk2FVTq-L._AC_US600_.jpg,https://www.amazon.com/dp/B0FX1ZP43J,Women's Pullover Sweaters,430,0.62,19.99
B0FM7TGJ3F,https://m.media-amazon.com/images/I/619t5JOH6RL._AC_US600_.jpg,https://www.amazon.com/dp/B0FM7TGJ3F,Women's Statement Rings,430,0.54,12.99
B0FX26623C,https://m.media-amazon.com/images/I/71xqvxdD7QL._AC_US600_.jpg,https://www.amazon.com/dp/B0FX26623C,Women's Swimwear Cover Ups,429,0.51,14.99
B0FZJXM248,https://m.media-amazon.com/images/I/71AJ+3PurqL._AC_US600_.jpg,https://www.amazon.com/dp/B0FZJXM248,Women's T-Shirts,427,0.62,19.99
B0FV8ZRZCQ,https://m.media-amazon.com/images/I/61qxrNPKFAL._AC_US600_.jpg,https://www.amazon.com/dp/B0FV8ZRZCQ,Women's Novelty Blouses & Button-Down Shirts,427,0.6,17.99
B0F32KPSJK,https://m.media-amazon.com/images/I/812fUIG29wL._AC_US600_.jpg,https://www.amazon.com/dp/B0F32KPSJK,Women's Novelty Blouses & Button-Down Shirts,426,0.56,19.99
B0FZSLSW4P,https://m.media-amazon.com/images/I/71eCTzqnl6L._AC_US600_.jpg,https://www.amazon.com/dp/B0FZSLSW4P,Women's Belts,426,0.55,18.99
B0FMN8G25J,https://m.media-amazon.com/images/I/818VDTTiF9L._AC_US600_.jpg,https://www.amazon.com/dp/B0FMN8G25J,Women's Stud Earrings,425,0.6,16.99
B0FVSFGLR6,https://m.media-amazon.com/images/I/61I011zvf4L._AC_US600_.jpg,https://www.amazon.com/dp/B0FVSFGLR6,Women's Tunics,424,0.59,19.99
B0FCTQP7HV,https://m.media-amazon.com/images/I/81jfDAKjYxL._AC_US600_.jpg,https://www.amazon.com/dp/B0FCTQP7HV,Women's Belts,424,0.55,13.99
B0FS7CNQJQ,https://m.media-amazon.com/images/I/71+4OwaevwL._AC_US600_.jpg,https://www.amazon.com/dp/B0FS7CNQJQ,Women's T-Shirts,424,0.59,16.99
B0FNCSNZ5M,https://m.media-amazon.com/images/I/81dxTNwZb9L._AC_US600_.jpg,https://www.amazon.com/dp/B0FNCSNZ5M,Everyday Bras,423,0.57,19.99
B0FHFJH9Q7,https://m.media-amazon.com/images/I/71L0IXCsU1L._AC_US600_.jpg,https://www.amazon.com/dp/B0FHFJH9Q7,Women's Statement Rings,423,0.58,14.99
B0FMF2H1QZ,https://m.media-amazon.com/images/I/71q1wk2zjKL._AC_US600_.jpg,https://www.amazon.com/dp/B0FMF2H1QZ,Women's T-Shirts,423,0.58,16.99
B0FH27PD5G,https://m.media-amazon.com/images/I/61SnOh+FmKL._AC_US600_.jpg,https://www.amazon.com/dp/B0FH27PD5G,Women's Statement Rings,423,0.56,13.99
B0FYFNYV7Y,https://m.media-amazon.com/images/I/81YLl4rY3LL._AC_US600_.jpg,https://www.amazon.com/dp/B0FYFNYV7Y,Women's T-Shirts,423,0.54,14.99
B0FJ1K6GF3,https://m.media-amazon.com/images/I/61H0NwVAhaL._AC_US600_.jpg,https://www.amazon.com/dp/B0FJ1K6GF3,Baby Girls' Pant Sets,421,0.62,19.99
B0FCMXPF29,https://m.media-amazon.com/images/I/81HPrwfR8HL._AC_US600_.jpg,https://www.amazon.com/dp/B0FCMXPF29,Women's Tanks & Camis,420,0.62,19.99
B0G3P93Y6D,https://m.media-amazon.com/images/I/81p5UiiH2LL._AC_US600_.jpg,https://www.amazon.com/dp/B0G3P93Y6D,Women's Swimwear Cover Ups,420,0.54,19.99
B0FNCJDKG8,https://m.media-amazon.com/images/I/71K-CrBZPfL._AC_US600_.jpg,https://www.amazon.com/dp/B0FNCJDKG8,Everyday Bras,418,0.56,14.99
B0FV7SQPMK,https://m.media-amazon.com/images/I/718kZwSjzzL._AC_US600_.jpg,https://www.amazon.com/dp/B0FV7SQPMK,Women's T-Shirts,418,0.59,16.99
B0FKH1MQ4M,https://m.media-amazon.com/images/I/71jotTTwPLL._AC_US600_.jpg,https://www.amazon.com/dp/B0FKH1MQ4M,Women's Button-Down Shirts,417,0.51,16.99
B0FF26YVV7,https://m.media-amazon.com/images/I/71a-Wq0uTgL._AC_US600_.jpg,https://www.amazon.com/dp/B0FF26YVV7,Baby Boys' Pants Sets,415,0.62,19.97
B0FLJ4QNQ6,https://m.media-amazon.com/images/I/61p3vxce0qL._AC_US600_.jpg,https://www.amazon.com/dp/B0FLJ4QNQ6,Women's Stud Earrings,415,0.6,16.99
B0FRZG9GX4,https://m.media-amazon.com/images/I/81kuMlmTjAL._AC_US600_.jpg,https://www.amazon.com/dp/B0FRZG9GX4,Women's Stud Earrings,413,0.61,16.99
B0G2RGF1S4,https://m.media-amazon.com/images/I/81QFEsbMpPL._AC_US600_.jpg,https://www.amazon.com/dp/B0G2RGF1S4,Women's Tunics,413,0.6,19.99
B0FV2ZVLGR,https://m.media-amazon.com/images/I/81y35qb8PVL._AC_US600_.jpg,https://www.amazon.com/dp/B0FV2ZVLGR,Women's Swimwear Cover Ups,413,0.55,19.99
B0FJRH5GL6,https://m.media-amazon.com/images/I/6144vbiAqAL._AC_US600_.jpg,https://www.amazon.com/dp/B0FJRH5GL6,Women's Button-Down Shirts,412,0.59,9.98
B0FQ5L3C2X,https://m.media-amazon.com/images/I/61Ef4BLvo6L._AC_US600_.jpg,https://www.amazon.com/dp/B0FQ5L3C2X,Women's T-Shirts,410,0.58,13.99
B0FX2MMFXV,https://m.media-amazon.com/images/I/71BtA0LpyHL._AC_US600_.jpg,https://www.amazon.com/dp/B0FX2MMFXV,Women's Tunics,408,0.62,9.99
B0FDB8TS8M,https://m.media-amazon.com/images/I/81jnPbem46L._AC_US600_.jpg,https://www.amazon.com/dp/B0FDB8TS8M,Women's Button-Down Shirts,408,0.62,19.99
B0FHKT26LZ,https://m.media-amazon.com/images/I/71IqLz5zFkL._AC_US600_.jpg,https://www.amazon.com/dp/B0FHKT26LZ,Women's Tunics,408,0.54,14.98
B0FKBKRKHZ,https://m.media-amazon.com/images/I/714Z8Ey7rSL._AC_US600_.jpg,https://www.amazon.com/dp/B0FKBKRKHZ,Women's T-Shirts,407,0.52,12.59
B0FVXVLK94,https://m.media-amazon.com/images/I/81iL1W2M64L._AC_US600_.jpg,https://www.amazon.com/dp/B0FVXVLK94,Women's Tunics,407,0.56,14.99
B0FSQJ1H4R,https://m.media-amazon.com/images/I/71cukRYJKPL._AC_US600_.jpg,https://www.amazon.com/dp/B0FSQJ1H4R,Women's Pullover Sweaters,407,0.54,14.99
B0FQBTT57C,https://m.media-amazon.com/images/I/8128ELCk5vL._AC_US600_.jpg,https://www.amazon.com/dp/B0FQBTT57C,Women's Tanks & Camis,406,0.56,14.99
B0FWBHN1FP,https://m.media-amazon.com/images/I/81alVkPKOeL._AC_US600_.jpg,https://www.amazon.com/dp/B0FWBHN1FP,Women's Swimwear Cover Ups,405,0.56,19.99
B0FHDM21LD,https://m.media-amazon.com/images/I/71oIjzyrbRL._AC_US600_.jpg,https://www.amazon.com/dp/B0FHDM21LD,Women's Statement Rings,405,0.56,13.99
B0FPFJ9GH9,https://m.media-amazon.com/images/I/814zy3M2WwL._AC_US600_.jpg,https://www.amazon.com/dp/B0FPFJ9GH9,Women's Novelty Blouses & Button-Down Shirts,403,0.59,17.99
B0FK8PWKS2,https://m.media-amazon.com/images/I/71kX1Q13LfL._AC_US600_.jpg,https://www.amazon.com/dp/B0FK8PWKS2,Everyday Bras,403,0.57,14.99
B0FH42SSZS,https://m.media-amazon.com/images/I/718ITAOCiWL._AC_US600_.jpg,https://www.amazon.com/dp/B0FH42SSZS,Baby Girls' Pant Sets,403,0.5,17.24
B0FH9W3STS,https://m.media-amazon.com/images/I/71jhu-shyML._AC_US600_.jpg,https://www.amazon.com/dp/B0FH9W3STS,Women's Stud Earrings,402,0.55,12.99
B0FZB5P658,https://m.media-amazon.com/images/I/61bGeml3XfL._AC_US600_.jpg,https://www.amazon.com/dp/B0FZB5P658,Women's Novelty Blouses & Button-Down Shirts,400,0.62,19.99
